Histoire de Merlin,Story of Merlin,Gautier Map,,Arsenal fr. 3479,https://arlima.net/mp/merlin_en_prose_roman_de.html,,,,,
Le saint Graal,The Holy Grail,Gautier Map,,Arsenal fr. 3479,https://arlima.net/eh/estoire_del_saint_graal.html,,,,,
La Mort d'Artus,The Death of Arthur,Gautier Map,,Arsenal fr. 3480,https://arlima.net/mp/mort_le_roi_artu.html,,,,,
La Quête du saint Graal,The Quest for the Holy Grail,Gautier Map,,Arsenal fr. 3480,https://arlima.net/qt/queste_del_saint_graal.html,,,,,
Lancelot du Lac,Lancelot of the Lake,Gautier Map,,Arsenal fr. 3479! Arsenal fr. 3480,https://arlima.net/il/lancelot_en_prose.html,,,,,
La Droite forme pour vivre,The Right Way to Live,,,BL Add. 29986,,,,,,
Le Livre du cloistre de l'ame,The Book of the Cloister of the Soul,,,BL Add. 29986,,,,,,
Le Mirouer de mortel vie,Mirror of Mortal Life,,,BL Add. 29986,https://arlima.net/il/je_vois_morir.html,,,,,
Les Meditacions saint Anseaume,Meditations of St. Anselm,,,BL Add. 29986,,,,,,
Miroir des dames,Mirror of Ladies,,,BL Add. 29986,,,,,Mirror of Princes,
Bedford Psalter and Hours,,,,BL Add. 42131,,,,,Paraliturgical,
Thomas Jenyn’s Ordinary of Arms,,,,BL Add. MS 40851,,,,,,
La Fleur des Histoires de la terre d'Orient and five other travel accounts,,Jean le Long d’Ypres,,BL Cotton MS Otho D II,https://www.arlima.net/il/jean_le_long_dypres.html#hay,,,,,
A Perpetual Calendar,,,,BL Harley MS 937,,,,,,
A shewing in generall wordis that a sawle corruptithe with synne hit must be waishid and clensid from the filthe of sinne…',,,,BL Harley MS 4012,,,,,,
Foure thingis be nedefull to evere Cristen man and woman to rule theein be to obtayne the blisse of heuen,,,,BL Harley MS 4012,,,,,,
Here beginneth a tretes of mekeues,,,,BL Harley MS 4012,,,,,,
Here foloing be the artikill of the faith,,,,BL Harley MS 4012,,,,,,
Here is foling a short and a frutefull tretes how that ther was assembelid viii wide men and masters for to declare what meret tribulacion is for manne mekely sufferd,,,,BL Harley MS 4012,,,,,,
Here is the mirroure of sinnes,,,,BL Harley MS 4012,,,,,,
Ho sumener saith this praier in the worship of the passion shall haue C. 3ere of pardon,,,,BL Harley MS 4012,,,,,,
Iehsu the sonne of mare mylde,,,,BL Harley MS 4012,,,https://quod.lib.umich.edu/m/middle-english-dictionary/bibliography/BIB4507,,,
Mirror of St Edmund! imperfect,,,,BL Harley MS 4012,,,,,,
Prose Life of St Catherine,,,,BL Harley MS 4012,,,,,,
Prose Life of St Margaret,,,,BL Harley MS 4012,,,,,,
The Charter of our eritage,,,,BL Harley MS 4012,,,,,,
the pardon of the monastery of Shene whiche is Syon,,,,BL Harley MS 4012,,,,,,
Theis be the wordis that our saueoure Iehsu spake to his holy spouse and virgen Sent Moll,,,,BL Harley MS 4012,,,,,,
treatise on 'fowre maner of wasshingis!' imperfect,,,,BL Harley MS 4012,,,,,,
Verse Life of St Anne,,,,BL Harley MS 4012,,,https://quod.lib.umich.edu/m/middle-english-dictionary/bibliography/BIB3265,,,
Verse Life of St Patrick,,,,BL Harley MS 4012,,,,,,
Autres Balades (Plusieurs Balades de Divers Propos),Other Ballads,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#aut,,,,Poetry,
Balades de Plusieurs Façons,Ballads of Several Kinds,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#est,,,,Poetry,
Cent Balades d'Amant et de Dame,One Hundred Ballads of a Lover and a Lady,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#100a,,,,Poetry,
Encore autres balades,Still Other Ballads,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#enc,,,,Poetry,
Enseignemens que Cristine donne à son Filz (Les Enseignemens Moraux),Instructions that Christine Gives to Her Son (Moral Teachings),Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#ens,,,,,
Lay de Vers L'onimes,,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#lai,,,,,
Livre de Poissy,The Book of Poissy,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#poi,,,,,
Prologue adreçant à la royne,Prologue Addressing the Queen,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#ded,,,,,
Quinze Joyes Nostre Dame Rimées,Fifteen Joys of Our Lady in Rhyme,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#qui,,,,,
Un Autre Lay,Another Lay,Christine de Pizan,,BL Harley MS 4431,,,,,Fixed-form,
Une Autre Complainte amoureuse,Another Love Complaint,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#co2,,,,,
Une Complainte amoureuse,A Love Complaint,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#co1,,,,,
Une Oroison de la Vie et Passion de Nostre Seigneur,A Prayer on the Life and Passion of Our Savior,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#sei,,,,Religious,
Une Oroison Nostre Dame,A Prayer to Our Lady,Christine de Pizan,,BL Harley MS 4431,https://www.arlima.net/ad/christine_de_pizan.html#dam,,,,Religious,
Estoire del Saint Graal,The Story of the Holy Grail,,,BL Royal 14 E III,https://www.arlima.net/eh/estoire_del_saint_graal.html,,,,,
La Morte le Roi Artu,The Death of King Arthur,,,BL Royal 14 E III,https://www.arlima.net/mp/mort_le_roi_artu.html,,,,,
La Queste del Saint Graal,The Quest for the Holy Grail,,,BL Royal 14 E III,https://www.arlima.net/qt/queste_del_saint_graal.html,,,,,
Breviaire des nobles,,,,BL Royal 15 E VI,,,,,,
Chevalier au Cygne,,,,BL Royal 15 E VI,,,,,,
Cronicles de Normandie,,,,BL Royal 15 E VI,,,,,,
Guy de Warwick,,,,BL Royal 15 E VI,,,,,,
Heraud d'Ardennes,,,,BL Royal 15 E VI,,,,,,
L'Ordre de la jarretier,,,,BL Royal 15 E VI,,,,,,
Le Livre de la conqueste du roy Alixandre,,,,BL Royal 15 E VI,,,,,,
Le Livre des fais d'armes et de chevalerie,,,,BL Royal 15 E VI,,,,,,
Le Livre du roy Charlemaine,,,,BL Royal 15 E VI,,,,,,
Livre de politique,,,,BL Royal 15 E VI,,,,,,
Ogier le Danois,,,,BL Royal 15 E VI,,,,,,
Quatre fils Aimon,,,,BL Royal 15 E VI,,,,,,
Arbre des batailles,Tree of Battles,Honoré Bonet,,NE 12! BL Royal 15 E VI,https://arlima.net/eh/honorat_bovet.html#arb,,,,,
Chroniques de Burgos,Chronicles of Burgos,Gonzalo de Hinohosa,Jean Golein,BL Royal 19 E VI,https://arlima.net/il/jean_golein.html#bur,,,,Chronicle,
Grande Biblie historiale complétée,Great Complete Illuminated Bible,,Guiard des Moulins,BnF fr. 159,,,,,Paraliturgical,
Bible moralisée,Illuminated Bible,,,BnF fr. 167,,,,,Paraliturgical,
Rational des divins offices,,Guillaume Durand de Mende,Jean Golein,BnF fr. 176,https://arlima.net/il/jean_golein.html#dur,,,,Religious! Paraliturgical,
Histoire ancienne jusqu'à César,Ancient History to Caesar,Wauchier de Denain,,BnF fr. 256,https://arlima.net/uz/wauchier_de_denain.html#hac,,,,,
Décades,History of Rome,Titus Livy,Pierre Bersuire,BnF fr. 263,https://arlima.net/mp/pierre_bersuire.html#tyt,,,,,
La Fleur des histoires,The Flower of History,Jean Mansel,,BnF fr. 300,https://arlima.net/il/jean_mansel.html#fle,,,,Chronicle,http://jonas.irht.cnrs.fr/consulter/oeuvre/detail_oeuvre.php?oeuvre=7499
Miroir historial v. 1,Mirror of History v. 1,Vincent of Beauvais,Jean de Vignay,BnF n.a.f. 15939-41! BnF fr. 316,https://arlima.net/il/jean_de_vignay.html#his,,,,,
Tristan en prose,Prose Tristan,,Luce de Gast,BnF fr. 334,https://arlima.net/qt/tristan_en_prose.html,,,,Romance,
Vita Jesu Christi,Life of Jesus Christ,Ludolphe de Saxe,,BnF fr. 407-08,https://arlima.net/il/ludolf_von_sachsen.html#chr,,,,Religious! Translation,http://jonas.irht.cnrs.fr/consulter/oeuvre/detail_oeuvre.php?oeuvre=2330
Ci nous dit,Now We Are Told,,,BnF fr. 425,https://arlima.net/ad/ci_nous_dit.html,,,,,
Le seul parler de Saint Augustin,Meditations of St. Augustine,St. Augustine,,BnF fr. 445,,,,,,
L'Horloge de sapience,The Clock of Knowledge,Henry Suso,Jean de Souhabe,BnF fr. 926! BnF fr. 445,https://arlima.net/il/jean_de_souabe.html#,,,,,
Les Douze périls d'enfer,The Twelve Perils of Hell,Robert Blondel,Pierre de Caillemesnil,BnF fr. 449,https://arlima.net/qt/robert_blondel.html#per,,,,Religious,http://jonas.irht.cnrs.fr/consulter/oeuvre/detail_oeuvre.php?oeuvre=9219
Image du monde,Image of the World,Gossuin de Metz,,BnF fr. 574,https://arlima.net/il/image_du_monde_en_prose.html,,,,,
Livre des femmes nobles et renommées,Book of Noble and Renowned Women,Giovanni Boccaccio,Laurent de Premierfait,BnF fr. 598,https://arlima.net/ad/cleres_et_nobles_femmes.html,,,,,
Epistre à la Royne de France,,,,BnF fr. 605,,,,,,
Epistre à Eustace Morel,Letter to Eustace Morel,Christine de Pizan,,BL Harley MS 4431! BnF fr. 605,https://www.arlima.net/ad/christine_de_pizan.html#mor,,,,,
Livre de Prudence,The Book of Prudence,Christine de Pizan,,BL Harley MS 4431! BnF fr. 605,https://www.arlima.net/ad/christine_de_pizan.html#pru,,,,,
Proverbes Moraulx,Moral Proverbs,Christine de Pizan,,BL Harley MS 4431! BnF fr. 605,https://www.arlima.net/ad/christine_de_pizan.html#pro,,,,,
